epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,291.509,1.25389,1.30497,1.22067,0.65794,0.28774,0.35924,0.20398,1.61373,1.80749,1.40588,0.000955072,0.000955072,0.000955072
43,298.288,1.25111,1.26291,1.22777,0.42567,0.38822,0.32775,0.15023,1.69257,1.70057,1.43273,0.000952889,0.000952889,0.000952889
44,305.161,1.22298,1.2611,1.21021,0.4548,0.4195,0.32837,0.1916,1.74848,1.70504,1.4821,0.000950658,0.000950658,0.000950658
45,312.138,1.25972,1.28968,1.23472,0.63329,0.31697,0.32903,0.16049,1.54138,1.72073,1.36106,0.000948377,0.000948377,0.000948377
46,318.672,1.23389,1.25583,1.22144,0.63718,0.23816,0.24833,0.12404,1.70849,1.84096,1.45656,0.000946048,0.000946048,0.000946048
47,325.282,1.22191,1.28422,1.22319,0.51926,0.37186,0.36217,0.21319,1.7056,1.64359,1.44124,0.000943671,0.000943671,0.000943671
48,331.967,1.22635,1.25941,1.22109,0.55938,0.25056,0.24253,0.12503,1.74567,1.94709,1.52536,0.000941245,0.000941245,0.000941245
49,338.888,1.20076,1.19758,1.21083,0.49762,0.38263,0.33971,0.19328,1.58343,2.32175,1.48321,0.000938772,0.000938772,0.000938772
50,345.747,1.21704,1.2228,1.20524,0.6054,0.4153,0.36603,0.18881,1.6002,2.00839,1.41368,0.000936251,0.000936251,0.000936251
51,353.004,1.19194,1.19142,1.18534,0.437,0.32668,0.31132,0.17368,1.60437,1.77328,1.38081,0.000933683,0.000933683,0.000933683
52,359.741,1.20712,1.16662,1.19532,0.75609,0.16726,0.21856,0.10971,1.73246,2.8399,1.538,0.000931067,0.000931067,0.000931067
53,366.537,1.19733,1.1811,1.20393,0.68409,0.35621,0.36152,0.22501,1.66068,1.80277,1.4403,0.000928405,0.000928405,0.000928405
54,373.418,1.21524,1.19391,1.21077,0.67756,0.32183,0.37526,0.21545,1.6246,1.80086,1.41884,0.000925697,0.000925697,0.000925697
