epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1539.87,1.19125,1.43381,1.23706,0.57457,0.41505,0.44202,0.30087,1.2165,1.40754,1.21976,0.0700041,0.00333288,0.00333288
2,3011.64,1.30064,1.70887,1.31087,0.55764,0.39059,0.41564,0.28197,1.24213,1.45697,1.24674,0.0399381,0.00660022,0.00660022
3,4534.08,1.38963,1.93881,1.37699,0.55647,0.37287,0.39638,0.266,1.25926,1.51688,1.27732,0.00980607,0.00980156,0.00980156
4,6041.87,1.40605,1.98406,1.39433,0.54899,0.38106,0.40595,0.2746,1.2455,1.48839,1.26864,0.009703,0.009703,0.009703
5,7575.5,1.3644,1.88207,1.36632,0.57333,0.38828,0.4213,0.28696,1.22671,1.44742,1.25363,0.009604,0.009604,0.009604
6,9029.34,1.34294,1.82454,1.35013,0.57631,0.39639,0.4313,0.29629,1.21453,1.42232,1.24553,0.009505,0.009505,0.009505
7,10531.5,1.32877,1.79195,1.34199,0.58538,0.39659,0.43657,0.30122,1.20732,1.41052,1.2406,0.009406,0.009406,0.009406
8,11978.4,1.32046,1.76783,1.33495,0.59252,0.39699,0.4403,0.30417,1.20226,1.4035,1.23632,0.009307,0.009307,0.009307
9,13484.7,1.31212,1.74847,1.32755,0.57921,0.40239,0.44219,0.30592,1.19877,1.39818,1.23389,0.009208,0.009208,0.009208
10,14937,1.30774,1.73606,1.32618,0.57184,0.40746,0.44397,0.30755,1.19537,1.39447,1.23138,0.009109,0.009109,0.009109
11,16435.7,1.30231,1.72566,1.32112,0.57683,0.41073,0.44641,0.30915,1.19235,1.38995,1.22906,0.00901,0.00901,0.00901
12,17960.6,1.29896,1.71425,1.31963,0.57277,0.4162,0.4487,0.31111,1.18986,1.38419,1.22696,0.008911,0.008911,0.008911
13,19576.1,1.29763,1.70885,1.31777,0.58086,0.41147,0.45055,0.31251,1.18782,1.3775,1.22501,0.008812,0.008812,0.008812
14,21126,1.29518,1.70009,1.31411,0.5809,0.41421,0.45283,0.3145,1.18468,1.37107,1.22219,0.008713,0.008713,0.008713
15,22742.6,1.29242,1.69412,1.31252,0.57409,0.41863,0.45514,0.31632,1.18254,1.36448,1.22017,0.008614,0.008614,0.008614
16,24288.5,1.28916,1.68581,1.31007,0.58009,0.41845,0.45702,0.31739,1.18091,1.35857,1.21833,0.008515,0.008515,0.008515
17,25908.3,1.2883,1.68101,1.30884,0.58021,0.42038,0.4587,0.31837,1.18006,1.35369,1.21711,0.008416,0.008416,0.008416
18,27460.6,1.28611,1.68322,1.30813,0.58889,0.4197,0.46045,0.31926,1.17891,1.34844,1.2157,0.008317,0.008317,0.008317
19,29072.8,1.28423,1.67741,1.30722,0.577,0.42651,0.46146,0.3202,1.1772,1.34408,1.21402,0.008218,0.008218,0.008218
20,30619.6,1.28349,1.67176,1.3053,0.57279,0.42935,0.46245,0.3213,1.17683,1.33963,1.2131,0.008119,0.008119,0.008119
21,32215.5,1.28169,1.67105,1.30544,0.57521,0.43001,0.46365,0.32185,1.1753,1.3349,1.21162,0.00802,0.00802,0.00802
22,33783.4,1.28011,1.6673,1.30471,0.57286,0.4313,0.46451,0.32268,1.17408,1.33112,1.21061,0.007921,0.007921,0.007921
23,35318.1,1.27863,1.66442,1.30312,0.57905,0.42813,0.46574,0.32357,1.17307,1.3282,1.20934,0.007822,0.007822,0.007822
24,36932.5,1.27754,1.65853,1.30131,0.57672,0.4332,0.46717,0.32486,1.17222,1.3253,1.20854,0.007723,0.007723,0.007723
25,38487.7,1.2757,1.6548,1.29989,0.58373,0.43368,0.46801,0.32573,1.17132,1.3219,1.20753,0.007624,0.007624,0.007624
26,40102.7,1.27564,1.65614,1.30126,0.58481,0.43545,0.46922,0.32654,1.17051,1.31924,1.20729,0.007525,0.007525,0.007525
27,41658.5,1.27465,1.65154,1.29952,0.58093,0.43886,0.46992,0.3274,1.16952,1.31777,1.20653,0.007426,0.007426,0.007426
28,43215.2,1.27376,1.6486,1.29936,0.58004,0.43965,0.47065,0.32764,1.16872,1.316,1.20538,0.007327,0.007327,0.007327
29,44680.8,1.27238,1.64556,1.29684,0.58507,0.43879,0.47138,0.32835,1.16773,1.31441,1.20438,0.007228,0.007228,0.007228
30,46162.7,1.27197,1.6447,1.29703,0.58278,0.43931,0.47198,0.3287,1.16751,1.31312,1.20363,0.007129,0.007129,0.007129
31,47588,1.26898,1.6411,1.29705,0.58897,0.43861,0.47244,0.32943,1.16665,1.31171,1.20298,0.00703,0.00703,0.00703
32,49022.4,1.26933,1.63479,1.29508,0.58983,0.43757,0.47255,0.32961,1.16609,1.31038,1.20231,0.006931,0.006931,0.006931
33,50459.2,1.26708,1.63503,1.29448,0.59896,0.43429,0.47312,0.33042,1.16567,1.3079,1.2017,0.006832,0.006832,0.006832
34,51933.3,1.26532,1.63071,1.29322,0.59446,0.43601,0.47387,0.33081,1.16557,1.30666,1.20146,0.006733,0.006733,0.006733
35,53376.7,1.26495,1.62868,1.29339,0.59375,0.43638,0.47489,0.33157,1.16489,1.30547,1.2008,0.006634,0.006634,0.006634
36,54859.7,1.26421,1.62564,1.29198,0.5896,0.43909,0.47613,0.33221,1.16439,1.30353,1.20022,0.006535,0.006535,0.006535
37,56288.5,1.26303,1.62374,1.29091,0.59746,0.43747,0.47734,0.33316,1.16372,1.30161,1.19931,0.006436,0.006436,0.006436
38,57767.2,1.26251,1.61847,1.28998,0.59761,0.43923,0.47745,0.33339,1.16324,1.30089,1.19889,0.006337,0.006337,0.006337
39,59218.4,1.2609,1.61674,1.28881,0.60553,0.43642,0.47782,0.33358,1.16309,1.29906,1.19852,0.006238,0.006238,0.006238
40,60720.9,1.25811,1.6122,1.28639,0.60367,0.43683,0.4784,0.33386,1.16253,1.29763,1.19769,0.006139,0.006139,0.006139
41,62177.4,1.25828,1.61403,1.2881,0.59553,0.44143,0.47851,0.33397,1.16199,1.29667,1.19729,0.00604,0.00604,0.00604
42,63679.2,1.25707,1.60815,1.28584,0.59826,0.44147,0.47883,0.33411,1.16141,1.29543,1.1963,0.005941,0.005941,0.005941
43,65131.7,1.25529,1.60394,1.28439,0.60274,0.43988,0.47927,0.33441,1.16089,1.2939,1.19565,0.005842,0.005842,0.005842
44,66622.6,1.25497,1.60199,1.2844,0.60031,0.44143,0.47959,0.33488,1.15972,1.29219,1.1951,0.005743,0.005743,0.005743
45,68087.2,1.25358,1.60142,1.2837,0.6004,0.44161,0.48025,0.33547,1.15954,1.29152,1.19484,0.005644,0.005644,0.005644
46,69517,1.25316,1.59658,1.28281,0.59845,0.44237,0.4807,0.33572,1.1591,1.29095,1.1946,0.005545,0.005545,0.005545
47,71011,1.2521,1.59422,1.28302,0.59596,0.44194,0.48072,0.336,1.15852,1.28986,1.19418,0.005446,0.005446,0.005446
48,72448.6,1.25032,1.58896,1.2811,0.59739,0.44393,0.48127,0.33659,1.15875,1.28941,1.19376,0.005347,0.005347,0.005347
49,73948.3,1.2479,1.58667,1.28037,0.59148,0.44813,0.48242,0.33672,1.1587,1.28883,1.19348,0.005248,0.005248,0.005248
50,75383.3,1.24565,1.5838,1.27826,0.59303,0.44838,0.48281,0.33712,1.15739,1.28783,1.19232,0.005149,0.005149,0.005149
51,76860.5,1.24365,1.57962,1.2772,0.6025,0.44656,0.48358,0.33746,1.15653,1.28691,1.19126,0.00505,0.00505,0.00505
52,78278.4,1.24507,1.57854,1.27775,0.59956,0.44783,0.48321,0.33774,1.15568,1.28599,1.19064,0.004951,0.004951,0.004951
53,79760.5,1.24307,1.57355,1.27488,0.59754,0.44869,0.48346,0.33827,1.15563,1.28478,1.19041,0.004852,0.004852,0.004852
54,81181.4,1.24062,1.56804,1.27498,0.60084,0.44699,0.48438,0.33866,1.15473,1.28353,1.18968,0.004753,0.004753,0.004753
55,82694.2,1.23882,1.56832,1.27382,0.59884,0.44824,0.48455,0.33892,1.15422,1.28233,1.18895,0.004654,0.004654,0.004654
56,84222.3,1.23788,1.56235,1.2727,0.59162,0.45116,0.48479,0.33897,1.15398,1.2806,1.18847,0.004555,0.004555,0.004555
57,85814,1.23728,1.55886,1.27161,0.60304,0.44716,0.48513,0.33958,1.15363,1.27919,1.18814,0.004456,0.004456,0.004456
58,87343.7,1.23485,1.55661,1.27057,0.60729,0.44615,0.48603,0.34029,1.15244,1.27738,1.18738,0.004357,0.004357,0.004357
59,88941,1.23333,1.5558,1.27047,0.60352,0.44744,0.48689,0.34069,1.15148,1.27574,1.18655,0.004258,0.004258,0.004258
60,90476.8,1.23207,1.54909,1.26855,0.6035,0.44831,0.4873,0.3412,1.15086,1.275,1.18601,0.004159,0.004159,0.004159
61,92072.8,1.23114,1.54294,1.26668,0.61073,0.44511,0.48816,0.3418,1.15089,1.27385,1.18558,0.00406,0.00406,0.00406
62,93613.3,1.22773,1.54257,1.26523,0.60144,0.44944,0.48863,0.34207,1.15052,1.27245,1.18508,0.003961,0.003961,0.003961
63,95205.1,1.22732,1.53951,1.26551,0.60083,0.45053,0.48888,0.34263,1.14966,1.27087,1.18448,0.003862,0.003862,0.003862
64,96744.1,1.22551,1.53384,1.26378,0.60858,0.44942,0.48977,0.34276,1.14899,1.2695,1.18394,0.003763,0.003763,0.003763
65,98327.3,1.22228,1.52869,1.26295,0.61187,0.44638,0.49042,0.34326,1.14849,1.2681,1.18385,0.003664,0.003664,0.003664
66,99860.3,1.2232,1.52673,1.2613,0.61467,0.4438,0.49134,0.34378,1.14822,1.26714,1.18315,0.003565,0.003565,0.003565
67,101453,1.21877,1.51867,1.25956,0.62258,0.44298,0.49175,0.34415,1.14759,1.26577,1.18236,0.003466,0.003466,0.003466
68,102991,1.21805,1.51744,1.25814,0.61569,0.44422,0.49172,0.34412,1.14697,1.26501,1.18173,0.003367,0.003367,0.003367
69,104522,1.21754,1.51519,1.25815,0.61834,0.44488,0.49185,0.34445,1.14653,1.26466,1.18142,0.003268,0.003268,0.003268
70,106103,1.21624,1.50955,1.25616,0.62472,0.44163,0.49209,0.34524,1.14606,1.26368,1.18083,0.003169,0.003169,0.003169
71,107635,1.21491,1.50712,1.25597,0.60827,0.4501,0.49258,0.34551,1.14523,1.26224,1.17992,0.00307,0.00307,0.00307
72,109223,1.21087,1.50356,1.25401,0.60633,0.45259,0.49334,0.34614,1.1454,1.26085,1.17973,0.002971,0.002971,0.002971
73,110749,1.20969,1.49582,1.25239,0.60948,0.45226,0.49407,0.34678,1.14477,1.25942,1.1788,0.002872,0.002872,0.002872
74,112338,1.20917,1.49094,1.25141,0.61716,0.44788,0.4945,0.3472,1.14428,1.2576,1.17826,0.002773,0.002773,0.002773
75,113865,1.20581,1.4857,1.25024,0.62543,0.4471,0.49488,0.34751,1.14353,1.25702,1.1777,0.002674,0.002674,0.002674
76,115446,1.20191,1.48079,1.24804,0.62873,0.44594,0.49571,0.34861,1.14291,1.25699,1.17683,0.002575,0.002575,0.002575
77,116978,1.20075,1.47744,1.2472,0.62761,0.44646,0.49621,0.34918,1.14217,1.25526,1.17606,0.002476,0.002476,0.002476
78,118559,1.19961,1.474,1.24604,0.62085,0.44968,0.4972,0.34978,1.14132,1.25427,1.17517,0.002377,0.002377,0.002377
79,120089,1.19668,1.46521,1.24433,0.6283,0.44801,0.49776,0.3503,1.14002,1.25336,1.17425,0.002278,0.002278,0.002278
80,121671,1.19389,1.46351,1.24291,0.61876,0.45374,0.49867,0.35085,1.13941,1.25236,1.17344,0.002179,0.002179,0.002179
81,123196,1.19241,1.46076,1.24168,0.62688,0.44911,0.4985,0.35108,1.13859,1.2511,1.17266,0.00208,0.00208,0.00208
82,124779,1.18915,1.45133,1.2391,0.62261,0.45217,0.49891,0.35104,1.13813,1.24997,1.17219,0.001981,0.001981,0.001981
83,126311,1.18721,1.44407,1.23731,0.62403,0.453,0.49959,0.35164,1.13807,1.2489,1.17202,0.001882,0.001882,0.001882
84,127889,1.18331,1.43677,1.23473,0.62455,0.45332,0.50058,0.3521,1.13795,1.24734,1.17159,0.001783,0.001783,0.001783
85,129420,1.18403,1.43528,1.23539,0.62944,0.45125,0.50039,0.35223,1.13675,1.24528,1.17064,0.001684,0.001684,0.001684
86,130991,1.17938,1.42744,1.23206,0.62546,0.45331,0.50104,0.35265,1.13566,1.24414,1.16979,0.001585,0.001585,0.001585
87,132504,1.1784,1.42275,1.23149,0.62161,0.45598,0.50167,0.35297,1.13481,1.24274,1.1692,0.001486,0.001486,0.001486
88,134001,1.17246,1.41387,1.22924,0.62423,0.45601,0.50216,0.35288,1.13395,1.24141,1.16838,0.001387,0.001387,0.001387
89,135462,1.1704,1.4062,1.22619,0.62459,0.4563,0.50276,0.35362,1.13333,1.23991,1.16768,0.001288,0.001288,0.001288
90,137039,1.16745,1.39869,1.22365,0.62698,0.45492,0.50362,0.35429,1.13247,1.23847,1.16689,0.001189,0.001189,0.001189
91,138491,1.16216,1.32165,1.21483,0.61596,0.46241,0.50508,0.35535,1.13107,1.23653,1.16592,0.00109,0.00109,0.00109
92,139938,1.15492,1.30154,1.20933,0.61816,0.4631,0.50649,0.35668,1.12958,1.23419,1.16483,0.000991,0.000991,0.000991
93,141353,1.14945,1.28736,1.20529,0.62117,0.4637,0.50725,0.35785,1.12888,1.23189,1.16417,0.000892,0.000892,0.000892
94,142828,1.1444,1.27687,1.20181,0.62022,0.46676,0.50793,0.35875,1.12822,1.23018,1.16375,0.000793,0.000793,0.000793
95,144383,1.14115,1.26654,1.19799,0.61842,0.46747,0.50827,0.35909,1.12772,1.22804,1.16319,0.000694,0.000694,0.000694
96,145874,1.13595,1.25543,1.19567,0.62208,0.46649,0.50871,0.35967,1.12723,1.22679,1.16267,0.000595,0.000595,0.000595
97,147422,1.12923,1.24544,1.19237,0.62478,0.46469,0.50915,0.36004,1.12621,1.22529,1.16178,0.000496,0.000496,0.000496
98,148918,1.126,1.23286,1.18879,0.61779,0.46876,0.50949,0.36048,1.12565,1.22442,1.16094,0.000397,0.000397,0.000397
99,150473,1.12108,1.22414,1.18671,0.6205,0.46786,0.50979,0.36097,1.12543,1.22362,1.16047,0.000298,0.000298,0.000298
100,151977,1.11595,1.21357,1.18226,0.61443,0.47125,0.51041,0.3614,1.12524,1.2221,1.16,0.000199,0.000199,0.000199
